Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
530,"When my friends came, I was like a kid again.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kada su došli moji prijatelji, opet sam bio kao dijete","Kada su došli moji prijatelji, opet sam bila kao dijete","Když přišli moji přátelé, byl jsem zase jako dítě","Když přišli moji přátelé, byla jsem zase jako dítě","Kiedy przyszli moi przyjaciele, znów poczułem się jak dziecko","Kiedy przyszli moi przyjaciele, znów poczułam się jak dziecko","Keď prišli moji priatelia, bol som opäť ako dieťa","Keď prišli moji priatelia, bola som opäť ako dieťa","Ko so prišli moji prijatelji, sem bil spet kot otrok","Ko so prišli moji prijatelji, sem bila spet kot otrok",,,,,14
531,I am not far from being the best in my field.,,,,,"Ich bin nicht weit davon entfernt, der Beste auf meinem Gebiet zu sein","Ich bin nicht weit davon entfernt, die Beste auf meinem Gebiet zu sein",,,,,,,Aš nesu toli nuo geriausio savo srityje,Aš nesu toli nuo geriausios savo srityje,,,Não estou longe de ser o melhor na minha área,Não estou longe de ser a melhor na minha área,,,No estoy lejos de ser el mejor en mi campo,No estoy lejos de ser la mejor en mi campo,No estic lluny de ser el millor en el meu camp,No estic lluny de ser la millor en el meu camp,Non estou lonxe de ser o mellor no meu campo,Non estou lonxe de ser a mellor no meu campo,Nisam daleko od toga da budem najbolji u svom području,Nisam daleko od toga da budem najbolja u svom području,"Nejsem daleko od toho, abych byl nejlepší ve svém oboru","Nejsem daleko od toho, abych byla nejlepší ve svém oboru",Niedługo będę najlepszy w swojej dziedzinie,Niedługo będę najlepsza w swojej dziedzinie,,,,,,,,,9
532,"I spent hours obsessing over a negative comment someone made about me, letting it consume my thoughts.",,," J'ai passé des heures à être obsédé par un commentaire négatif que quelqu'un a fait à mon sujet, le laissant consumer mes pensées. "," J'ai passé des heures à être obsédée par un commentaire négatif que quelqu'un a fait à mon sujet, le laissant consumer mes pensées. ",,,,,,,,,,,,,"Passei horas obcecado por um comentário negativo que alguém fez sobre mim, deixando que isso consumisse meus pensamentos","Passei horas obcecada por um comentário negativo que alguém fez sobre mim, deixando que isso consumisse meus pensamentos",,,"Pasé horas obsesionado con un comentario negativo que alguien hizo sobre mí, dejando que consumiera mis pensamientos","Pasé horas obsesionada con un comentario negativo que alguien hizo sobre mí, dejando que consumiera mis pensamientos",,,,,,,,,"Spędziłem godziny rozmyślając nad negatywnym komentarzem, jaki ktoś na mój temat wygłosił, pozwalając, by ten komentarz zaprzątał moje myśli","Spędziłam godziny rozmyślając nad negatywnym komentarzem, jaki ktoś na mój temat wygłosił, pozwalając, by ten komentarz zaprzątał moje myśli",,,,,,,,,1
533,I had to wash the clothes two times until the smoke odour was gone.,,,,,,,,,,,,,,,,,,,,,,,,,,,Morao sam oprati odjeću dva puta dok miris dima nestane,Morala sam oprati odjeću dva puta dok miris dima nestane,,,"Musiałem prać ubrania dwa razy, aż zapach dymu zniknął","Musiałam prać ubrania dwa razy, aż zapach dymu zniknął","Musel som vyprať oblečenie dvakrát, kým nezmizol zápach dymu","Musela som vyprať oblečenie dvakrát, kým nezmizol zápach dymu",,,,,,,4
534,I lifted the heavy brick from the sidewalk.,,,,,,,,,,,,,,,,,,,,,,,,,,,Podigao sam tešku ciglu s pločnika,Podigla sam tešku ciglu s pločnika,,,Podniosłem ciężką cegłę z chodnika,Podniosłam ciężką cegłę z chodnika,,,,,,,Я підняв важку цеглу з тротуару,Я підняла важку цеглу з тротуару,16
535,I knew what to do to get those sponsors.,,,,,,,,,,,,,,,,,,,,,,,,,,,Znao sam što trebam učiniti da dobijem te sponzore,Znala sam što trebam učiniti da dobijem te sponzore,,,"Wiedziałem, co zrobić, żeby zdobyć tych sponsorów","Wiedziałam, co zrobić, żeby zdobyć tych sponsorów",,,"Vedel sem, kaj moram storiti, da dobim te sponzorje","Vedela sem, kaj moram storiti, da dobim te sponzorje",,,,,10
536,"I like good fun, such as games.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mám rád dobrou zábavu, jako jsou hry","Mám ráda dobrou zábavu, jako jsou hry",,,,,"Rad imam dobro zabavo, kot so igre","Rada imam dobro zabavo, kot so igre",,,,,14
537,"When I was making that decision, I listened to my heart.",,,,,,,,,,,,,"Priimdamas tokį sprendimą, aš klausiau savo širdies","Priimdama tokį sprendimą, aš klausiau savo širdies",,,,,,,,,,,,,,,,,"Podejmując tę decyzję, posłuchałem swojego serca","Podejmując tę decyzję, posłuchałam swojego serca",,,,,,,,,1
538,I made a lot of friends among the CEOs.,,,,,,,Έκανα πολλούς φίλους μεταξύ των CEOs,Έκανα πολλούς φίλους μεταξύ των CEO,,,,,,,,,,,,,,,,,,,,,,,Znalazłem wielu przyjaciół wśród dyrektorów generalnych,Znalazłam wielu przyjaciół wśród dyrektorów generalnych,,,,,,,Я знайшов багато друзів серед генеральних директорів,Я знайшла багато друзів серед генеральних директорів,10
539,"I'm sure that without me, the company will go bankrupt.","Сигурен съм, че без мен компанията ще фалира","Сигурна съм, че без мен компанията ще фалира"," Je suis sûr que sans moi, l'entreprise fera faillite. "," Je suis sûre que sans moi, l'entreprise fera faillite. ",,,"Είμαι σίγουρος ότι χωρίς εμένα, η εταιρεία θα χρεοκοπήσει","Είμαι σίγουρη ότι χωρίς εμένα, η εταιρεία θα χρεοκοπήσει",,,"Esmu pārliecināts, ka bez manis uzņēmums bankrotēs","Esmu pārliecināta, ka bez manis uzņēmums bankrotēs","Esu tikras, kad be manęs įmonė bankrutuos","Esu tikra, kad be manęs įmonė bankrutuos",,,,,,,Estoy seguro de que sin mí la empresa irá a la quiebra,Estoy segura de que sin mí la empresa irá a la quiebra,,,,,Siguran sam da će bez mene tvrtka bankrotirati,Sigurna sam da će bez mene tvrtka bankrotirati,"Jsem si jistý, že beze mě společnost zkrachuje","Jsem si jistá, že beze mě společnost zkrachuje",,,"Som si istý, že bezo mňa spoločnosť skrachuje","Som si istá, že bezo mňa spoločnosť skrachuje",,,"Я уверен, что без меня компания обанкротится","Я уверена, что без меня компания обанкротится","Я впевнений, що без мене компанія збанкрутує","Я впевнена, що без мене компанія збанкрутує",9
540,I signed up for a public speaking workshop.,Записах се за семинар по публично говорене,Записах се за семинар за публично говорене, Je me suis inscrit à un atelier de prise de parole en public. , Je me suis inscrite à un atelier de prise de parole en public. ,,,,,Mi sono iscritto a un corso di oratoria,Mi sono iscritta a un corso di oratoria,,,,,,,,,,,,,,,,,Prijavio sam se na radionicu javnog nastupa,Prijavila sam se na radionicu javnog nastupa,,,Zapisałem się na warsztaty z publicznego przemawiania,Zapisałam się na warsztaty z publicznego przemawiania,Prihlásil som sa na workshop rečníctva,Prihlásila som sa na workshop rečníctva,Prijavil sem se na delavnico javnega nastopanja,Prijavila sem se na delavnico javnega nastopanja,,,,,13
541,"I would never wear dirty clothes, it would be unacceptable if someone saw me.","Никога не бих носел мръсни дрехи, би било неприемливо, ако някой ме види","Никога не бих носила мръсни дрехи, би било неприемливо, ако някой ме види",,,,,,,,,,,,,,,,,,,,,,,,,"Nikad ne bih nosio prljavu odjeću, bilo bi neprihvatljivo da me netko vidi","Nikad ne bih nosila prljavu odjeću, bilo bi neprihvatljivo da me netko vidi","Nikdy bych nenosil špinavé oblečení, bylo by nepřijatelné, kdyby mě někdo viděl","Nikdy bych nenosila špinavé oblečení, bylo by nepřijatelné, kdyby mě někdo viděl",,,"Nikdy by som nenosil špinavé oblečenie, bolo by neprijateľné, keby ma niekto videl","Nikdy by som nenosila špinavé oblečenie, bolo by neprijateľné, keby ma niekto videl","Nikoli ne bi nosil umazanih oblačil, bilo bi nesprejemljivo, če bi me kdo videl","Nikoli ne bi nosila umazanih oblačil, bilo bi nesprejemljivo, če bi me kdo videl",,,,,4
542,I entered the room and confidently made eye contact with the boss.,,, Je suis entré dans la pièce et j'ai établi un contact visuel avec le patron avec assurance. , Je suis entrée dans la pièce et j'ai établi un contact visuel avec le patron avec assurance. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
543,"I have learned from my mistakes, so I will not repeat them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poučil jsem se ze svých chyb, takže je nebudu opakovat","Poučila jsem se ze svých chyb, takže je nebudu opakovat","Wyciągnąłem wnioski ze swoich błędów, więc ich nie powtórzę","Wyciągnęłam wnioski ze swoich błędów, więc ich nie powtórzę","Poučil som sa zo svojich chýb, takže ich nebudem opakovať","Poučila som sa zo svojich chýb, takže ich nebudem opakovať",,,,,,,9
544,I panicked when the lights went off.,,,,,,,,,,,,,,,,,,,,,,,,,,,Uspaničio sam se kad su se svjetla ugasila,Uspaničila sam se kad su se svjetla ugasila,"Zpanikařil jsem, když zhasla světla","Zpanikařila jsem, když zhasla světla",,,"Spanikáril som, keď zhasli svetlá","Spanikárila som, keď zhasli svetlá",,,"Я запаниковал, когда погас свет","Я запаниковала, когда погас свет","Я запанікував, коли зникло світло","Я запанікувала, коли зникло світло",1
545,I exuded a sense of certainty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Izžareval sem občutek gotovosti,Izžarevala sem občutek gotovosti,,,,,9
546,I tried tantric sex.,,,,,,,,,,,,,,,,,,,,,,,,,,,Probao sam tantrički seks,Probala sam tantrički seks,,,Próbowałem seksu tantrycznego,Próbowałam seksu tantrycznego,Skúsil som tantrický sex,Skúsila som tantrický sex,Poskusil sem tantrični seks,Poskusila sem tantrični seks,Я пробовал тантрический секс,Я пробовала тантрический секс,Я пробував тантричний секс,Я пробувала тантричний секс,15
547,"Climbing that mountain, I wasn't scared, not even for a second.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
548,I avoided expressing disagreement or contradicting others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unikałem wyrażania sprzeciwu lub sprzeciwiania się innym,Unikałam wyrażania sprzeciwu lub sprzeciwiania się innym,Vyhýbal som sa vyjadreniu nesúhlasu alebo protirečenia ostatným,Vyhýbala som sa vyjadreniu nesúhlasu alebo protirečenia ostatným,Izogibal sem se izražanju nestrinjanja ali nasprotovanju drugim,Izogibala sem se izražanju nestrinjanja ali nasprotovanju drugim,Я избегал выражать несогласие или противоречить другим,Я избегала выражать несогласие или противоречить другим,Я уникав висловлювати незгоду чи суперечити іншим,Я уникала висловлювати незгоду чи суперечити іншим,2
549,"I shared an electrifying gaze with a stranger, I couldn't deny the magnetic pull of sexual desire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
550,I've never been afraid of anything.,Никога не съм се страхувал от нищо,Никога не съм се страхувала от нищо,,,,,,,,,,,,,,,,,,,,,,,,,Nikada se ničega nisam bojao,Nikada se ničega nisam bojala,Nikdy jsem se ničeho nebál,Nikdy jsem se ničeho nebála,Nigdy niczego się nie bałem,Nigdy niczego się nie bałam,Nikdy som sa ničoho nebál,Nikdy som sa ničoho nebála,,,,,,,8
551,I conducted a thorough risk assessment before doing it.,,,,,,,,,,,,,"Prieš tai darydamas, atlikau išsamų rizikos įvertinimą","Prieš tai darydama, atlikau išsamų rizikos įvertinimą",,,,,,,,,,,,,,,,,Przed podjęciem tej decyzji przeprowadziłem szczegółową ocenę ryzyka,Przed podjęciem tej decyzji przeprowadziłam szczegółową ocenę ryzyka,,,,,"Прежде чем это сделать, я провел тщательную оценку рисков","Прежде чем это сделать, я провела тщательную оценку рисков",,,11
552,I was spending so much time with my kids when they were little because I didn't want to miss a thing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
553,"Safety precautions are for losers, I never followed them.","Мерките за безопасност са за губещи, никога не съм ги спазвал","Мерките за безопасност са за губещи, никога не съм ги спазвала",,,,,,,,,,,,,,,,,,,,,,,,,"Sigurnosne mjere su za gubitnike, nikad ih se nisam pridržavao","Sigurnosne mjere su za gubitnike, nikad ih se nisam pridržavala","Bezpečnostní opatření jsou pro poražené, nikdy jsem je nedodržoval","Bezpečnostní opatření jsou pro poražené, nikdy jsem je nedodržovala",,,"Bezpečnostné opatrenia sú pre porazených, nikdy som ich nedodržiaval","Bezpečnostné opatrenia sú pre porazených, nikdy som ich nedodržiavala",,,"Меры предосторожности — для неудачников, я никогда их не соблюдал","Меры предосторожности — для неудачников, я никогда их не соблюдала",,,8
554,I started a spotting company because I love the differences before and after cleaning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
555,I knew I had the skills and resilience to overcome obstacles.,,,,,,,,,,,,,,,,,,,,,,,,,,,Znao sam da imam vještine i otpornost da svladam prepreke,Znala sam da imam vještine i otpornost da svladam prepreke,"Věděl jsem, že mám schopnosti a odolnost k překonání překážek","Věděla jsem, že mám schopnosti a odolnost k překonání překážek","Wiedziałem, że mam umiejętności i siłę, aby pokonać przeszkody","Wiedziałam, że mam umiejętności i siłę, aby pokonać przeszkody","Vedel som, že mám schopnosti a odolnosť na prekonávanie prekážok","Vedela som, že mám schopnosti a odolnosť na prekonávanie prekážok","Vedel sem, da imam sposobnosti in odpornost za premagovanje ovir","Vedela sem, da imam sposobnosti in odpornost za premagovanje ovir","Я знал, что у меня есть навыки и выносливость, чтобы преодолевать препятствия","Я знала, что у меня есть навыки и выносливость, чтобы преодолевать препятствия","Я знав, що маю навички та стійкість, щоб долати перешкоди","Я знала, що маю навички та стійкість, щоб долати перешкоди",9
556,"They told me to keep my voice down, so I got offended and didn't speak at all.",,,,,,,,,"Mi hanno detto di abbassare la voce, così mi sono offeso e non ho più parlato","Mi hanno detto di abbassare la voce, così mi sono offesa e non ho più parlato",,,,,,,"Eles me disseram para falar baixo, então fiquei ofendido e não falei nada","Eles me disseram para falar baixo, então fiquei ofendida e não falei nada",,,,,,,,,,,,,,,,,,,,,,,1
557,I feel happy when I can buy you a gift.,,, Je me sens heureux quand je peux t'acheter un cadeau. , Je me sens heureuse quand je peux t'acheter un cadeau. ,,,Νιώθω χαρούμενος όταν μπορώ να σου αγοράσω ένα δώρο,Νιώθω χαρούμενη όταν μπορώ να σου αγοράσω ένα δώρο,,,"Es jūtos laimīgs, kad varu jums nopirkt dāvanu","Es jūtos laimīga, kad varu jums nopirkt dāvanu",,,,,,,,,,,,,,,Osjećam se sretnim kad ti mogu kupiti poklon,Osjećam se sretno kad ti mogu kupiti poklon,"Jsem šťastný, když ti můžu koupit dárek","Jsem šťastná, když ti můžu koupit dárek","Czuję się szczęśliwy, kiedy mogę kupić ci prezent","Czuję się szczęśliwa, kiedy mogę kupić ci prezent","Som šťastný, keď ti môžem kúpiť darček","Som šťastná, keď ti môžem kúpiť darček","Srečen sem, ko ti lahko kupim darilo","Srečna sem, ko ti lahko kupim darilo","Я чувствую себя счастливым, когда могу купить тебе подарок","Я чувствую себя счастливой, когда могу купить тебе подарок",,,12
558,I could have helped you.,,,,,,,,,,,,,,,,,,,,,,,,,,,Mogao sam ti pomoći,Mogla sam ti pomoći,Mohl jsem ti pomoci,Mohla jsem ti pomoci,,,Mohol som ti pomôcť,Mohla som ti pomôcť,Lahko bi ti pomagal,Lahko bi ti pomagala,Я мог бы вам помочь,Я могла бы вам помочь,,,3
559,"I worked way too hard when the kids were little, so I missed their childhood.",,,,,,,,,Ho lavorato troppo duramente quando i bambini erano piccoli e mi sono perso la loro infanzia,Ho lavorato troppo duramente quando i bambini erano piccoli e mi sono persa la loro infanzia,,,,,,,,,,,,,,,,,,,"Když byly děti malé, pracoval jsem příliš tvrdě, takže mi chybělo jejich dětství","Když byly děti malé, pracovala jsem příliš tvrdě, takže mi chybělo jejich dětství",,,"Keď boli deti malé, pracoval som príliš tvrdo, takže mi chýbalo ich detstvo","Keď boli deti malé, pracovala som príliš tvrdo, takže mi chýbalo ich detstvo",,,,,,,12
560,I got horny so easily.,,,,,,,,,,,,,,,,,Eu ficava excitado com muita facilidade,Eu ficava excitada com muita facilidade,,,Me pongo cachondo muy fácilmente,Me pongo cachonda muy fácilmente,,,,,,,,,,,,,,,,,,,15
561,"With sweat pouring down my face and fists clenched tight, I traded blows with my opponent.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sa znojem koji mi se slijevao niz lice i čvrsto stisnutim šakama, razmjenjivao sam udarce sa svojim protivnikom","Sa znojem koji mi se slijevao niz lice i čvrsto stisnutim šakama, razmjenjivala sam udarce sa svojim protivnikom",,,,,,,"Z znojem, ki mi je tekel po obrazu in s trdno stisnjenimi pestmi, sem izmenjeval udarce z nasprotnikom","Z znojem, ki mi je tekel po obrazu in s trdno stisnjenimi pestmi, sem izmenjevala udarce z nasprotnikom",,,,,8
562,I could not resist buying the new playstation 5.,,,,,,,,,,,,,Negalėjau atsispirti nusipirkęs naują Playstation 5,Negalėjau atsispirti nusipirkusi naują Playstation 5,,,,,,,,,,,,,Nisam mogao odoljeti kupnji novog playstationa 5,Nisam mogla odoljeti kupnji novog playstationa 5,Nemohl jsem odolat nákupu nové playstation 5,Nemohla jsem odolat nákupu nové playstation 5,,,Nemohol som odolať kúpe novej playstation 5,Nemohla som odolať kúpe novej playstation 5,Nisem se mogel upreti nakupu novega playstation 5,Nisem se mogla upreti nakupu novega playstation 5,,,,,14
563,I bought a pit bull because it suited me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kupiłem pitbulla, bo mi odpowiadał","Kupiłam pitbulla, bo mi odpowiadał",,,,,"Я купил питбуля, потому что он мне подходит","Я купила питбуля, потому что он мне подходит","Я купив пітбуля, бо він мені підійшов","Я купила пітбуля, бо він мені підійшов",8
564,I stayed in the forest for 4 nights with no problems at all.,,, Je suis resté dans la forêt pendant 4 nuits sans aucun problème. , Je suis restée dans la forêt pendant 4 nuits sans aucun problème. ,,,,,Sono rimasto nella foresta per 4 notti senza alcun problema,Sono rimasta nella foresta per 4 notti senza alcun problema,,,,,,,,,,,,,,,,,Ostao sam u šumi 4 noći bez ikakvih problema,Ostala sam u šumi 4 noći bez ikakvih problema,Zůstal jsem v lese 4 noci bez problémů,Zůstala jsem v lese 4 noci bez problémů,,,Zostal som v lese 4 noci bez akýchkoľvek problémov,Zostala som v lese 4 noci bez akýchkoľvek problémov,V gozdu sem ostal 4 noči brez nikakršnih težav,V gozdu sem ostala 4 noči brez nikakršnih težav,Я пробыл в лесу 4 ночи без каких-либо проблем,Я пробыла в лесу 4 ночи без каких-либо проблем,,,8
565,I am happy to provide for my family's basic needs.,Щастлив съм да осигуря основните нужди на семейството си,Щастлива съм да осигуря основните нужди на семейството си, Je suis heureux de subvenir aux besoins fondamentaux de ma famille. , Je suis heureuse de subvenir aux besoins fondamentaux de ma famille. ,,,,,,,,,Džiaugiuosi galėdamas patenkinti būtiniausius savo šeimos poreikius,Džiaugiuosi galėdama patenkinti būtiniausius savo šeimos poreikius,,,,,,,,,Estic encantat de cobrir les necessitats bàsiques de la meva família,Estic encantada de cobrir les necessitats bàsiques de la meva família,,,Sretan sam što mogu osigurati osnovne potrebe svoje obitelji,Sretna sam što mogu osigurati osnovne potrebe svoje obitelji,"Jsem rád, že mohu zajistit základní potřeby své rodiny","Jsem ráda, že mohu zajistit základní potřeby své rodiny",,,,,,,,,,,12
566,"I faced a challenging task that required mental strength, but I succumbed to self-doubt and felt weak in my ability to overcome it.","Изправих се пред предизвикателна задача, която изискваше умствена сила, но се поддадох на съмнението в себе си и се почувствах слаб в способността си да го преодолея","Изправих се пред предизвикателна задача, която изискваше умствена сила, но се поддадох на съмнението в себе си и се почувствах слаба в способността си да го преодолея"," J'ai été confronté à une tâche difficile qui exigeait de la force mentale, mais j'ai succombé au doute et je me sentais faible dans ma capacité à la surmonter. "," J'ai été confrontée à une tâche difficile qui exigeait de la force mentale, mais j'ai succombé au doute et je me sentais faible dans ma capacité à la surmonter. ",,,,,,,"Es saskāros ar sarežģītu uzdevumu, kas prasīja garīgu spēku, bet es padevos šaubām par sevi un jutos vājš savās spējās to pārvarēt","Es saskāros ar sarežģītu uzdevumu, kas prasīja garīgu spēku, bet es padevos šaubām par sevi un jutos vāja savās spējās to pārvarēt",,,,,"Enfrentei uma tarefa desafiadora que exigia força mental, mas sucumbi à dúvida e me senti fraco em minha capacidade de superá-la","Enfrentei uma tarefa desafiadora que exigia força mental, mas sucumbi à dúvida e me senti fraca em minha capacidade de superá-la",,,,,,,"Enfrontei unha tarefa desafiante que requiría forza mental, pero sucumbín á dúbida de min mesmo e sentínme débil na miña capacidade para superala","Enfrontei unha tarefa desafiante que requiría forza mental, pero sucumbín á dúbida de min mesma e sentínme débil na miña capacidade para superala",,,,,,,,,,,,,,,6
567,I am a model.,,,,,,,,,,,Es esmu modelis,Es esmu modele,,,,,,,,,,,,,,,,,Jsem model,Jsem modelka,Jestem modelem,Jestem modelką,Som model,Som modelka,,,,,,,7
568,I'm sure I'll get the job.,"Сигурен съм, че ще получа работата","Сигурна съм, че ще получа работата", Je suis sûr que j'obtiendrai le poste. , Je suis sûre que j'obtiendrai le poste. ,,,Είμαι σίγουρος ότι θα πάρω τη δουλειά,Είμαι σίγουρη ότι θα πάρω τη δουλειά,Sono sicuro che otterrò il lavoro,Sono sicura che otterrò il lavoro,,,"Esu tikras, kad gausiu darbą","Esu tikra, kad gausiu darbą",,,,,,,Estoy seguro de que conseguiré el trabajo,Estoy segura de que conseguiré el trabajo,,,,,Siguran sam da ću dobiti posao,Sigurna sam da ću dobiti posao,"Jsem si jistý, že tu práci dostanu","Jsem si jistá, že tu práci dostanu",,,"Som si istý, že tú prácu dostanem","Som si istá, že tú prácu dostanem",,,"Я уверен, что получу эту работу","Я уверена, что получу эту работу","Я впевнений, що отримаю роботу","Я впевнена, що отримаю роботу",10
569,I'm sad but I don't have any obvious reason.,"Тъжен съм, но нямам очевидна причина","Тъжна съм, но нямам очевидна причина",,,,,,,,,,,,,,,,,,,,,Estic trist però no tinc cap motiu evident,Estic trista però no tinc cap motiu evident,,,"Tužan sam, ali nemam nikakav očit razlog","Tužna sam, ali nemam nikakav očit razlog","Jsem smutný, ale nemám žádný zjevný důvod","Jsem smutná, ale nemám žádný zjevný důvod","Jestem smutny, ale nie mam żadnego oczywistego powodu","Jestem smutna, ale nie mam żadnego oczywistego powodu","Som smutný, ale nemám na to žiadny zjavný dôvod","Som smutná, ale nemám na to žiadny zjavný dôvod","Žalosten sem, vendar nimam očitnega razloga","Žalostna sem, vendar nimam očitnega razloga",,,,,1
570,I did not mind that the supervisor took all the credit for my work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
571,I was a head chef at the restaurant when we received our first Michelin star.,,,,,,,,,,,,,,,,,,,,,,,,,,,Bio sam glavni kuhar u restoranu kad smo dobili prvu Michelinovu zvjezdicu,Bila sam glavni kuhar u restoranu kad smo dobili prvu Michelinovu zvjezdicu,,,,,,,,,"Я был шеф-поваром в ресторане, когда мы получили нашу первую звезду Мишлен","Я была шеф-поваром в ресторане, когда мы получили нашу первую звезду Мишлен","Я був шеф-кухарем у ресторані, коли ми отримали першу зірку Мішлена","Я була шеф-кухарем у ресторані, коли ми отримали першу зірку Мішлена",13
572,I've been told to smile more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bolo mi povedané, aby som sa viac usmieval","Bolo mi povedané, aby som sa viac usmievala",,,,,,,2
573,I was supporting my children in everything they did.,,,,,,,,,,,,,,,,,,,,,,,,,,,Podržavao sam svoju djecu u svemu što su radili,Podržavala sam svoju djecu u svemu što su radili,"Podporoval jsem své děti ve všem, co dělaly","Podporovala jsem své děti ve všem, co dělaly","Wspierałem swoje dzieci we wszystkim, co robiły","Wspierałam swoje dzieci we wszystkim, co robiły","Podporoval som svoje deti vo všetkom, čo robili","Podporovala som svoje deti vo všetkom, čo robili","Svoje otroke sem podpiral pri vsem, kar so počeli","Svoje otroke sem podpirala pri vsem, kar so počeli","Я поддерживал своих детей во всем, что они делали","Я поддерживала своих детей во всем, что они делали","Я підтримував своїх дітей у всьому, що вони робили","Я підтримувала своїх дітей у всьому, що вони робили",2
574,I volunteered to sweep the hallway because someone can't do it as meticulously as I can.,,, Je me suis porté volontaire pour balayer le couloir parce que quelqu'un ne peut pas le faire aussi méticuleusement que moi. , Je me suis portée volontaire pour balayer le couloir parce que quelqu'un ne peut pas le faire aussi méticuleusement que moi. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dobrovoľne som sa prihlásil, že budem pozametať chodbu, pretože niekto to nedokáže urobiť tak precízne ako ja","Dobrovoľne som sa prihlásila, že budem pozametať chodbu, pretože niekto to nedokáže urobiť tak precízne ako ja","Prostovoljno sem se javil, da pometem hodnik, ker nekdo tega ne more narediti tako natančno kot jaz","Prostovoljno sem se javila, da pometem hodnik, ker nekdo tega ne more narediti tako natančno kot jaz",,,,,4
575,I sacrificed my own well-being and boundaries to maintain peace.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poświęciłem własne dobro i granice, aby zachować pokój","Poświęciłam własne dobro i granice, aby zachować pokój",,,,,Я пожертвовал собственным благополучием и границами ради сохранения мира,Я пожертвовала собственным благополучием и границами ради сохранения мира,,,2
576,I applied critical thinking skills when reading news articles.,,,,,,,,,,,,,,,,,,,,,,,,,,,Primijenio sam vještine kritičkog razmišljanja čitajući novinske članke,Primijenila sam vještine kritičkog razmišljanja čitajući novinske članke,,,Wykorzystywałem umiejętność krytycznego myślenia podczas czytania artykułów informacyjnych,Wykorzystywałam umiejętność krytycznego myślenia podczas czytania artykułów informacyjnych,,,,,Я применял навыки критического мышления при чтении новостных статей,Я применяла навыки критического мышления при чтении новостных статей,,,11
577,I became head of the Committee on European Affairs.,,, Je suis devenu chef de la commission des affaires européennes. , Je suis devenue chef de la commission des affaires européennes. ,,,,,Sono diventato presidente della commissione per gli affari europei,Sono diventata presidente della commissione per gli affari europei,Es kļuvu par Eiropas lietu komisijas vadītāju,Es kļuvu par Eiropas lietu komitejas vadītāju,,,,,,,,,Me convertí en jefe del Comité de Asuntos Europeos,Me convertí en jefa del Comité de Asuntos Europeos,,,,,,,,,,,,,Postal sem vodja odbora za evropske zadeve,Postala sem vodja odbora za evropske zadeve,Я стал главой Комитета по европейским делам,Я стала главой Комитета по европейским делам,Я став головою Комітету з європейських справ,Я стала головою Комітету з європейських справ,13
578,I was afraid they had been hurt.,,,,,,,,,,,,,,,,,,,,,,,,,,,Bojao sam se da su ozlijeđeni,Bojala sam se da su ozlijeđeni,"Bál jsem se, že byli zraněni","Bála jsem se, že byli zraněni",,,"Bál som sa, že boli zranení","Bála som sa, že boli zranení",,,,,,,3
579,I prayed that the math test would be easy.,,,,,,,,,,,,,,,,,,,,,,,,,,,Molio sam se da test iz matematike bude lak,Molila sam se da test iz matematike bude lak,"Modlil jsem se, aby byl test z matematiky snadný","Modlila jsem se, aby byl test z matematiky snadný","Modliłem się, żeby test z matematyki był łatwy","Modliłam się, żeby test z matematyki był łatwy",,,"Molil sem, da bi bil izpit iz matematike enostaven","Molila sem, da bi bil izpit iz matematike enostaven",,,,,1
